step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
74,5188,148,0.09733896861410188,1.0,1.0
75,5270,150,0.10487833956508397,0.5,0.9375
76,5352,152,0.11372932260056826,1.0,1.0
77,5402,154,0.20453677773219092,1.0,1.0
78,5484,156,0.1938769664422398,1.0,1.0
79,5566,158,0.09442947574158608,1.0,1.0
80,5648,160,0.0895277388183581,1.0,1.0
81,5698,162,0.17143988227431187,1.0,1.0
82,5780,164,0.14984044565031637,1.0,1.0
83,5846,166,0.08241162703434385,1.0,1.0
84,5912,168,0.12170062403460857,1.0,1.0
85,5978,170,0.13861713800551315,1.0,1.0
86,6060,172,0.11864754287698005,1.0,1.0
87,6126,174,0.16202756390241577,1.0,1.0
88,6208,176,0.09667258265684496,1.0,1.0
89,6274,178,0.1454034585582235,1.0,1.0
90,6356,180,0.14255581538925738,1.0,1.0
91,6438,182,0.1011067239930344,1.0,1.0
92,6520,184,0.1339693047887224,1.0,1.0
93,6602,186,0.20359259524901177,1.0,1.0
94,6668,188,0.12471153682271847,1.0,1.0
95,6750,190,0.11099865677313177,1.0,1.0
96,6800,192,0.17939871883842595,1.0,1.0
97,6866,194,0.13926440923423797,1.0,1.0
98,6948,196,0.22638635648921568,0.5,0.9333333333333333
99,7014,198,0.1819216445503457,1.0,1.0
100,7080,200,0.10038504131887294,1.0,1.0
101,7162,202,0.14500654910868666,1.0,1.0
102,7228,204,0.16714738121619918,1.0,1.0
103,7294,206,0.23809022844141625,0.5,0.9333333333333333
104,7376,208,0.13338130380225263,1.0,1.0
105,7442,210,0.08564155519762837,1.0,1.0
106,7508,212,0.10571549056170398,1.0,1.0
107,7574,214,0.15706133758951069,1.0,1.0
108,7640,216,0.21827432384276477,1.0,1.0
109,7690,218,0.12695666861679153,1.0,1.0
110,7740,220,0.1844533738895128,1.0,1.0
111,7806,222,0.15951971333262804,1.0,1.0
112,7856,224,0.132513725994257,1.0,1.0
113,7922,226,0.10494502474109665,1.0,1.0
114,7972,228,0.1071471249736381,1.0,1.0
115,8038,230,0.09486259314048766,1.0,1.0
116,8088,232,0.23773086399850551,1.0,1.0
117,8154,234,0.09966501328137838,1.0,1.0
118,8220,236,0.10108516240374284,1.0,1.0
119,8286,238,0.17072953974590774,1.0,1.0
120,8368,240,0.09192515436491817,1.0,1.0
121,8418,242,0.09786178252494816,1.0,1.0
122,8500,244,0.11248859306177347,1.0,1.0
123,8566,246,0.12425221349452685,1.0,1.0
124,8632,248,0.07984739778928827,1.0,1.0
125,8698,250,0.11276180789819536,1.0,1.0
126,8748,252,0.16014023738337455,1.0,1.0
127,8830,254,0.20974402697333008,1.0,1.0
128,8912,256,0.10910722317551062,1.0,1.0
129,8978,258,0.10048742783539807,1.0,1.0
130,9044,260,0.10511876960138694,1.0,1.0
131,9110,262,0.13669058038885712,1.0,1.0
132,9176,264,0.30480086758012137,0.5,0.8333333333333334
133,9258,266,0.07758847958619355,1.0,1.0
134,9324,268,0.263467052268162,0.5,0.9230769230769231
135,9390,270,0.05660928907766447,1.0,1.0
136,9472,272,0.09482362048692722,1.0,1.0
137,9522,274,0.1600083945973514,1.0,1.0
138,9588,276,0.09809143580887678,1.0,1.0
139,9670,278,0.17468068946824136,1.0,1.0
140,9752,280,0.16650268751621752,0.5,0.95
141,9818,282,0.15381351242355948,0.5,0.9444444444444444
142,9916,284,0.10534261625892327,1.0,1.0
143,9998,286,0.08445927157013103,1.0,1.0
144,10064,288,0.08473869759990862,1.0,1.0
145,10130,290,0.10805254072549814,1.0,1.0
146,10196,292,0.10927463576313129,1.0,1.0
147,10262,294,0.16138309136672435,1.0,1.0
148,10328,296,0.22120691716561394,1.0,1.0
149,10410,298,0.16100137043191354,1.0,1.0
150,10476,300,0.1739911482388607,1.0,1.0
151,10542,302,0.13381899247965523,1.0,1.0
152,10624,304,0.0832099098960316,1.0,1.0
153,10690,306,0.10774869389373745,1.0,1.0
154,10756,308,0.15626072265985158,1.0,1.0
155,10806,310,0.11611788507373906,1.0,1.0
156,10872,312,0.11030837725419769,1.0,1.0
157,10922,314,0.12864667584851,1.0,1.0
158,11004,316,0.08916000910714501,1.0,1.0
159,11086,318,0.09636769694099485,1.0,1.0
160,11152,320,0.5052953603536465,0.5,0.8571428571428571
161,11218,322,0.13329662067729942,1.0,1.0
162,11300,324,0.0716051103281734,1.0,1.0
163,11366,326,0.18033716345499895,1.0,1.0
164,11416,328,0.14298337186091886,1.0,1.0
165,11498,330,0.0974479958830375,1.0,1.0
166,11564,332,0.1479664117600898,1.0,1.0
167,11646,334,0.15227032364053456,0.5,0.9166666666666666
168,11712,336,0.10203711363279808,1.0,1.0
169,11778,338,0.11326160432899998,1.0,1.0
170,11844,340,0.2602015907393252,0.5,0.9
171,11910,342,0.16173514638965683,1.0,1.0
172,11976,344,0.1299274487086876,1.0,1.0
173,12042,346,0.12361277537349108,1.0,1.0
174,12124,348,0.058017428887305864,1.0,1.0
175,12206,350,0.08183258073134823,1.0,1.0
176,12272,352,0.10420737917031922,1.0,1.0
177,12338,354,0.14266600567819981,1.0,1.0
178,12404,356,0.0849428069932941,1.0,1.0
179,12486,358,0.16764714890571214,1.0,1.0
180,12568,360,0.05722473333157141,1.0,1.0
181,12634,362,0.08950928863826774,1.0,1.0
182,12716,364,0.10817133184856628,1.0,1.0
183,12782,366,0.1559734870022737,1.0,1.0
184,12864,368,0.1314201808560165,1.0,1.0
185,12930,370,0.1450303196881549,0.5,0.9090909090909091
186,12980,372,0.15150068143032439,1.0,1.0
187,13062,374,0.07649594391171888,1.0,1.0
188,13128,376,0.15915881767508824,1.0,1.0
189,13194,378,0.08562920407093913,1.0,1.0
190,13260,380,0.2053790481649742,1.0,1.0
191,13326,382,0.14536346233654848,1.0,1.0
192,13392,384,0.17112210579066625,1.0,1.0
193,13442,386,0.18174472703061992,1.0,1.0
194,13508,388,0.1643329806636345,1.0,1.0
195,13574,390,0.16373426504096927,1.0,1.0
196,13640,392,0.08441261024212564,1.0,1.0
197,13706,394,0.09810312141725319,1.0,1.0
198,13772,396,0.12798140666599805,1.0,1.0
199,13838,398,0.16720316495844256,1.0,1.0
200,13904,400,0.1518279703118882,1.0,1.0
201,13986,402,0.07422427909010806,1.0,1.0
202,14068,404,0.10015442707340227,1.0,1.0
203,14150,406,0.07633974706725326,1.0,1.0
204,14216,408,0.07960170655422837,1.0,1.0
205,14282,410,0.06014969130238726,1.0,1.0
206,14348,412,0.12373720039127606,1.0,1.0
207,14414,414,0.09637789729659083,1.0,1.0
208,14496,416,0.11132304768288932,1.0,1.0
209,14578,418,0.09616905761101052,1.0,1.0
210,14644,420,0.11401431514526267,1.0,1.0
211,14710,422,0.1375589567252321,1.0,1.0
212,14792,424,0.16517841772292202,0.5,0.9285714285714286
213,14842,426,0.09545260984317472,1.0,1.0
214,14892,428,0.10168781418842249,1.0,1.0
215,14974,430,0.1302266725851958,1.0,1.0
216,15040,432,0.04770871674279107,1.0,1.0
217,15090,434,0.16956598648523502,1.0,1.0
218,15156,436,0.18170312846618517,1.0,1.0
219,15206,438,0.1661848491867725,1.0,1.0
220,15288,440,0.0703995038062412,1.0,1.0
221,15370,442,0.10346065264349036,1.0,1.0
222,15436,444,0.11598704843232353,1.0,1.0
223,15502,446,0.0846149718249288,1.0,1.0
224,15584,448,0.24671192658359806,0.5,0.9411764705882353
225,15666,450,0.07691501089655106,1.0,1.0
226,15748,452,0.0605597598725099,1.0,1.0
227,15830,454,0.1104063601123815,1.0,1.0
228,15896,456,0.16511938738311185,1.0,1.0
229,15962,458,0.16907979716746624,1.0,1.0
230,16028,460,0.11612601206654177,1.0,1.0
231,16094,462,0.14711446172147902,1.0,1.0
232,16160,464,0.10016594824148513,1.0,1.0
233,16242,466,0.10162811856999099,1.0,1.0
234,16308,468,0.11256703730132359,1.0,1.0
235,16374,470,0.09388966590618679,1.0,1.0
236,16440,472,0.13206909972819006,1.0,1.0
237,16506,474,0.13240023258877615,0.5,0.9444444444444444
238,16556,476,0.1466950360335204,1.0,1.0
239,16622,478,0.1048857188239026,1.0,1.0
240,16688,480,0.1477044650080899,1.0,1.0
241,16754,482,0.13974231344683405,1.0,1.0
242,16820,484,0.09563106208145769,1.0,1.0
243,16886,486,0.09038437747114755,1.0,1.0
244,16968,488,0.07772935921398585,1.0,1.0
245,17034,490,0.12010277198272093,1.0,1.0
246,17084,492,0.16560236784197477,1.0,1.0
247,17150,494,0.08764553399889224,1.0,1.0
248,17232,496,0.09458238828070621,1.0,1.0
249,17282,498,0.22956384855843912,1.0,1.0
250,17348,500,0.08604357743425056,1.0,1.0
251,17414,502,0.09856709097473981,1.0,1.0
252,17480,504,0.15460230475846973,0.5,0.9230769230769231
253,17546,506,0.13548468382512907,1.0,1.0
254,17612,508,0.12127072511109417,1.0,1.0
255,17678,510,0.0824256673424685,1.0,1.0
256,17728,512,0.24951048956342184,1.0,1.0
257,17794,514,0.19394786094689775,1.0,1.0
258,17876,516,0.12405236263929169,1.0,1.0
259,17942,518,0.12949217974556576,1.0,1.0
260,18008,520,0.09188086363630106,1.0,1.0
261,18074,522,0.09843663510508661,1.0,1.0
262,18124,524,0.1541567142396957,1.0,1.0
263,18206,526,0.07160018087236039,1.0,1.0
264,18272,528,0.06987487854391788,1.0,1.0
265,18338,530,0.1192541146231008,1.0,1.0
266,18404,532,0.09598421157696677,1.0,1.0
267,18486,534,0.08037488376543876,1.0,1.0
268,18552,536,0.1155790059478903,1.0,1.0
269,18602,538,0.21426521525341022,1.0,1.0
270,18668,540,0.15889504182433145,1.0,1.0
271,18750,542,0.1007673686205021,1.0,1.0
272,18816,544,0.16692321870735186,1.0,1.0
273,18882,546,0.15169588442793297,1.0,1.0
274,18964,548,0.0788128942802581,1.0,1.0
275,19014,550,0.16759680341072003,1.0,1.0
276,19080,552,0.17846624783295797,1.0,1.0
277,19146,554,0.08076232861404121,1.0,1.0
278,19212,556,0.0780345723062709,1.0,1.0
279,19278,558,0.11808222975679714,1.0,1.0
280,19344,560,0.13928967272678394,1.0,1.0
281,19410,562,0.10210784208562701,1.0,1.0
282,19492,564,0.11159220518212351,1.0,1.0
283,19558,566,0.10024335187410997,1.0,1.0
284,19640,568,0.07524939378495332,1.0,1.0
285,19690,570,0.14936685832642524,1.0,1.0
286,19756,572,0.14808029800962572,1.0,1.0
287,19822,574,0.13168386463565868,1.0,1.0
288,19872,576,0.11419517243978135,1.0,1.0
289,19938,578,0.1807951998185217,1.0,1.0
290,20004,580,0.12468916791401626,1.0,1.0
291,20070,582,0.09217322850376776,1.0,1.0
292,20136,584,0.10058167950480054,1.0,1.0
293,20202,586,0.22595824230045314,0.5,0.9230769230769231
294,20268,588,0.08519060096514865,1.0,1.0
295,20334,590,0.14101111820871104,1.0,1.0
296,20400,592,0.08009736078449947,1.0,1.0
297,20482,594,0.06986938012996717,1.0,1.0
298,20548,596,0.0547486143843372,1.0,1.0
299,20614,598,0.10191901461503576,1.0,1.0
300,20696,600,0.10237450008508234,1.0,1.0
301,20762,602,0.08488829326481806,1.0,1.0
302,20828,604,0.05792841500297641,1.0,1.0
303,20894,606,0.1885807685427125,1.0,1.0
304,20960,608,0.08824407737513981,1.0,1.0
305,21042,610,0.11644341462131977,1.0,1.0
306,21124,612,0.06323464755350415,1.0,1.0
307,21190,614,0.07946054683544618,1.0,1.0
308,21272,616,0.09279993310516943,1.0,1.0
309,21338,618,0.06863545067614894,1.0,1.0
310,21404,620,0.0868117474687722,1.0,1.0
311,21470,622,0.053879846637278205,1.0,1.0
312,21520,624,0.2820915489764654,1.0,1.0
313,21602,626,0.07104608343835722,1.0,1.0
314,21668,628,0.11512162062529682,1.0,1.0
315,21750,630,0.10197316752942229,1.0,1.0
316,21832,632,0.07509718627502934,1.0,1.0
317,21914,634,0.10146445797863564,1.0,1.0
318,21980,636,0.05620204749659479,1.0,1.0
319,22062,638,0.06626354738391683,1.0,1.0
320,22128,640,0.09835660558989812,1.0,1.0
321,22178,642,0.11481216669745133,1.0,1.0
322,22244,644,0.12427003332265371,1.0,1.0
323,22294,646,0.12230505805364376,1.0,1.0
324,22360,648,0.07604494258135333,1.0,1.0
325,22426,650,0.09979264303785555,1.0,1.0
326,22508,652,0.10122159926567749,1.0,1.0
327,22574,654,0.10853346514822419,1.0,1.0
328,22640,656,0.18197073868525993,1.0,1.0
329,22706,658,0.07754703941034082,1.0,1.0
330,22788,660,0.07619603532807859,1.0,1.0
331,22854,662,0.14985243477383392,1.0,1.0
332,22920,664,0.09604256660547036,1.0,1.0
333,22986,666,0.09080811820458905,1.0,1.0
334,23068,668,0.04427532853294225,1.0,1.0
335,23150,670,0.08487204645205122,1.0,1.0
336,23216,672,0.15463017060157824,0.5,0.9230769230769231
337,23298,674,0.08024148773511967,1.0,1.0
338,23380,676,0.08151728457624359,1.0,1.0
339,23462,678,0.059230191338197645,1.0,1.0
340,23512,680,0.19090411887860528,1.0,1.0
341,23578,682,0.1267451215647341,1.0,1.0
342,23660,684,0.09010337517920818,1.0,1.0
343,23726,686,0.20005142840053236,1.0,1.0
344,23792,688,0.10449695075055558,1.0,1.0
345,23874,690,0.1086593123871944,1.0,1.0
346,23940,692,0.12848494843193536,1.0,1.0
347,24006,694,0.11227655404545941,0.5,0.9333333333333333
348,24072,696,0.07611274377032373,1.0,1.0
349,24138,698,0.09255862597952777,1.0,1.0
350,24220,700,0.0802725308647723,1.0,1.0
351,24286,702,0.16574518939238775,1.0,1.0
352,24352,704,0.11081766083931249,1.0,1.0
353,24418,706,0.055423534748203454,1.0,1.0
354,24484,708,0.06468122530153551,1.0,1.0
355,24550,710,0.12169986464530957,1.0,1.0
356,24632,712,0.10477926838676015,1.0,1.0
357,24698,714,0.1405244308014318,1.0,1.0
358,24748,716,0.15811341998694387,1.0,1.0
359,24814,718,0.1080050396569261,1.0,1.0
360,24880,720,0.12971301483339628,1.0,1.0
361,24946,722,0.07724412076541114,1.0,1.0
362,25012,724,0.17464461769492062,0.5,0.9230769230769231
363,25062,726,0.10515187849611184,1.0,1.0
364,25144,728,0.13240400725903895,1.0,1.0
365,25210,730,0.15290227381591992,1.0,1.0
366,25276,732,0.08313111258517551,1.0,1.0
367,25326,734,0.11383578789003272,1.0,1.0
368,25408,736,0.13536725136682434,0.5,0.9285714285714286
369,25490,738,0.12267445577424838,1.0,1.0
370,25556,740,0.12621805308320688,1.0,1.0
371,25622,742,0.11178441270518533,1.0,1.0
372,25704,744,0.052203689483760626,1.0,1.0
373,25786,746,0.08461703659579144,0.5,0.9444444444444444
374,25836,748,0.1331977895033257,1.0,1.0
375,25886,750,0.17578027774381247,1.0,1.0
376,25952,752,0.07872381003946602,1.0,1.0
377,26018,754,0.07077725098404244,1.0,1.0
378,26084,756,0.07262637569379714,1.0,1.0
379,26150,758,0.11735574272317778,1.0,1.0
380,26216,760,0.17409817177203876,1.0,1.0
381,26266,762,0.09718553062850409,1.0,1.0
382,26332,764,0.11900008618042364,1.0,1.0
383,26398,766,0.07406515828265939,1.0,1.0
384,26480,768,0.08025489484028867,1.0,1.0
385,26562,770,0.07991458441099109,1.0,1.0
386,26644,772,0.07277869802784154,1.0,1.0
387,26726,774,0.06550496318096975,1.0,1.0
388,26792,776,0.06946940494655536,1.0,1.0
389,26858,778,0.04756806079119698,1.0,1.0
390,26908,780,0.10807029602090097,1.0,1.0
391,26958,782,0.1289336943979718,1.0,1.0
392,27040,784,0.1590219346161257,1.0,1.0
393,27106,786,0.08850571587117032,1.0,1.0
394,27188,788,0.04526418794566055,1.0,1.0
395,27254,790,0.05669139728403146,1.0,1.0
396,27320,792,0.06983772567658095,1.0,1.0
397,27402,794,0.07183256848260271,1.0,1.0
398,27484,796,0.06602334569473,1.0,1.0
399,27566,798,0.13477081092228463,1.0,1.0
400,27632,800,0.05904362548102356,1.0,1.0
401,27698,802,0.1686418276302703,0.5,0.9375
402,27780,804,0.051302415799686404,1.0,1.0
403,27830,806,0.20084334851220545,1.0,1.0
404,27896,808,0.058793051088743734,1.0,1.0
405,27978,810,0.08790883674344742,1.0,1.0
406,28028,812,0.08549671353540732,1.0,1.0
407,28094,814,0.10019678591113318,1.0,1.0
408,28144,816,0.12071101462695778,1.0,1.0
409,28210,818,0.10932565936343225,1.0,1.0
410,28276,820,0.07790843837533999,1.0,1.0
411,28342,822,0.06577034854045997,1.0,1.0
412,28424,824,0.042509863255368145,1.0,1.0
413,28474,826,0.12309686105229505,1.0,1.0
414,28540,828,0.04149992106414971,1.0,1.0
415,28590,830,0.1114257276642699,1.0,1.0
416,28656,832,0.06913788865176684,1.0,1.0
417,28738,834,0.08400018021416969,1.0,1.0
418,28804,836,0.1003575937822383,1.0,1.0
419,28886,838,0.20672010888576325,1.0,1.0
420,28952,840,0.16722299037186303,1.0,1.0
421,29002,842,0.15136725156025743,1.0,1.0
422,29052,844,0.09381796870312514,1.0,1.0
423,29102,846,0.14724502298110356,1.0,1.0
424,29168,848,0.16307069893037504,1.0,1.0
425,29234,850,0.13297637539597318,1.0,1.0
426,29300,852,0.1369808976158481,1.0,1.0
427,29382,854,0.06758378828759166,1.0,1.0
428,29448,856,0.06364757543022001,1.0,1.0
429,29530,858,0.08156628292959667,1.0,1.0
430,29628,860,0.07803561403019803,1.0,1.0
431,29694,862,0.10609764841249483,1.0,1.0
432,29744,864,0.13472172065489096,1.0,1.0
433,29810,866,0.10131350821860537,1.0,1.0
434,29892,868,0.06168622599153949,1.0,1.0
435,29958,870,0.0974974716194005,1.0,1.0
436,30024,872,0.09245529562158694,1.0,1.0
437,30090,874,0.11020740824050887,1.0,1.0
438,30156,876,0.10816377144249288,1.0,1.0
439,30238,878,0.07758630819272228,1.0,1.0
440,30320,880,0.08610616590403898,1.0,1.0
441,30370,882,0.07170193125324449,1.0,1.0
442,30436,884,0.18157965353868022,1.0,1.0
443,30518,886,0.06837969471101163,1.0,1.0
444,30600,888,0.12334921006049411,1.0,1.0
445,30666,890,0.0908723422487726,1.0,1.0
446,30748,892,0.08881725289279543,1.0,1.0
447,30798,894,0.10051135468526252,1.0,1.0
448,30864,896,0.05238041855185466,1.0,1.0
449,30962,898,0.053108357546244274,1.0,1.0
450,31028,900,0.07391533236992878,1.0,1.0
451,31110,902,0.05174653872706618,1.0,1.0
452,31176,904,0.12465226492299736,1.0,1.0
453,31242,906,0.06118640381605971,1.0,1.0
454,31324,908,0.12138239600189948,1.0,1.0
455,31406,910,0.11948636601684712,1.0,1.0
456,31472,912,0.05176769351792779,1.0,1.0
457,31538,914,0.12590837817085576,1.0,1.0
458,31604,916,0.08102327831347599,1.0,1.0
459,31670,918,0.1019456812755884,1.0,1.0
460,31736,920,0.1395744680660819,1.0,1.0
461,31802,922,0.12791581835099564,1.0,1.0
462,31884,924,0.06603073203018484,1.0,1.0
463,31950,926,0.10202543794905666,1.0,1.0
464,32016,928,0.06394362079362921,1.0,1.0
465,32082,930,0.05454974138096845,1.0,1.0
466,32148,932,0.05565564829023462,1.0,1.0
467,32230,934,0.08100343091528772,1.0,1.0
468,32312,936,0.0427096232862823,1.0,1.0
469,32394,938,0.16778533409865762,1.0,1.0
470,32460,940,0.08509302810339392,1.0,1.0
471,32526,942,0.07060430407376087,1.0,1.0
472,32592,944,0.120767978734807,1.0,1.0
473,32658,946,0.11046219691324098,1.0,1.0
474,32756,948,0.06113644572091002,1.0,1.0
475,32822,950,0.05722256726643238,1.0,1.0
476,32888,952,0.08258812337568955,1.0,1.0
477,32970,954,0.1152103203832553,1.0,1.0
478,33036,956,0.10614311549301846,1.0,1.0
479,33102,958,0.15653001149149012,1.0,1.0
480,33184,960,0.11875892968720252,1.0,1.0
481,33250,962,0.12983626846162918,1.0,1.0
482,33316,964,0.03977218332336392,1.0,1.0
483,33398,966,0.07116999238525247,1.0,1.0
484,33464,968,0.08598194808354762,1.0,1.0
485,33514,970,0.08979887613175262,1.0,1.0
486,33596,972,0.056462513717169004,1.0,1.0
487,33662,974,0.11018213027663463,1.0,1.0
488,33728,976,0.10235383345613976,1.0,1.0
489,33810,978,0.08863415879010547,1.0,1.0
490,33892,980,0.056706337027954135,1.0,1.0
491,33974,982,0.03372741037598217,1.0,1.0
492,34040,984,0.11023154249502287,1.0,1.0
493,34106,986,0.0489009420356581,1.0,1.0
494,34172,988,0.08182808753343382,1.0,1.0
495,34238,990,0.076565304353403,1.0,1.0
496,34320,992,0.12224481516770436,1.0,1.0
497,34386,994,0.07750135117339471,1.0,1.0
498,34452,996,0.10066041877270351,1.0,1.0
499,34518,998,0.09970623961221037,1.0,1.0
500,34584,1000,0.10232695413805361,1.0,1.0
501,34650,1002,0.05291428746894837,1.0,1.0
502,34716,1004,0.09360519355803945,1.0,1.0
503,34782,1006,0.062340593091460575,1.0,1.0
504,34848,1008,0.07618574157580618,1.0,1.0
505,34930,1010,0.07431302613484946,1.0,1.0
506,34996,1012,0.05599939547190189,1.0,1.0
507,35062,1014,0.09150438020001543,1.0,1.0
508,35144,1016,0.059052757233897045,1.0,1.0
509,35210,1018,0.04358546722813887,1.0,1.0
510,35292,1020,0.04950311904460719,1.0,1.0
511,35342,1022,0.1276654929384525,1.0,1.0
512,35424,1024,0.10222694390288792,1.0,1.0
513,35490,1026,0.0990746975483995,0.5,0.9473684210526315
514,35556,1028,0.06575953473750872,1.0,1.0
515,35622,1030,0.12340387179033221,1.0,1.0
516,35672,1032,0.12762761821394789,1.0,1.0
517,35738,1034,0.05538702675238452,1.0,1.0
518,35820,1036,0.06582627297306999,1.0,1.0
519,35886,1038,0.08518441034516169,1.0,1.0
520,35952,1040,0.16546540771280008,1.0,1.0
521,36002,1042,0.23485727295985348,1.0,1.0
522,36084,1044,0.06896719422075534,1.0,1.0
523,36150,1046,0.12570703020768406,1.0,1.0
524,36216,1048,0.09407564973226014,1.0,1.0
525,36282,1050,0.12812560440585052,1.0,1.0
526,36348,1052,0.0805689287622972,1.0,1.0
527,36430,1054,0.04357503107863806,1.0,1.0
528,36512,1056,0.07943150517788222,1.0,1.0
529,36578,1058,0.057210612950808364,1.0,1.0
530,36628,1060,0.16782324401459617,1.0,1.0
531,36694,1062,0.1235257122528992,1.0,1.0
532,36744,1064,0.09049753702428803,1.0,1.0
533,36826,1066,0.038048687993641576,1.0,1.0
534,36908,1068,0.037493693614810863,1.0,1.0
535,36974,1070,0.07172816279126715,1.0,1.0
536,37040,1072,0.050770586977528204,1.0,1.0
537,37122,1074,0.13612051176510248,1.0,1.0
538,37188,1076,0.07612849816949208,1.0,1.0
539,37254,1078,0.10024759518333416,1.0,1.0
540,37336,1080,0.11827594560615613,1.0,1.0
541,37386,1082,0.11673006265511959,1.0,1.0
542,37468,1084,0.05904974648761659,1.0,1.0
543,37518,1086,0.09092904206131418,1.0,1.0
544,37584,1088,0.11589636103406561,1.0,1.0
545,37650,1090,0.06019435359633509,1.0,1.0
546,37716,1092,0.11682175885854633,1.0,1.0
547,37798,1094,0.10658952021038756,1.0,1.0
548,37864,1096,0.04569219857984206,1.0,1.0
549,37946,1098,0.0385493960531257,1.0,1.0
550,38012,1100,0.10859636169450226,1.0,1.0
551,38078,1102,0.09614708725452914,1.0,1.0
552,38144,1104,0.1167009808753356,1.0,1.0
553,38210,1106,0.11272304241955454,1.0,1.0
554,38292,1108,0.04875216163125799,1.0,1.0
555,38358,1110,0.12602416193128022,1.0,1.0
556,38440,1112,0.053359787339267085,1.0,1.0
557,38506,1114,0.04558873061600805,1.0,1.0
558,38572,1116,0.06531479963640799,1.0,1.0
559,38638,1118,0.16030882400800836,1.0,1.0
560,38720,1120,0.03743691359047936,1.0,1.0
561,38786,1122,0.08240473654652063,1.0,1.0
562,38836,1124,0.09357620705312304,1.0,1.0
563,38918,1126,0.0883763376395548,1.0,1.0
564,39000,1128,0.06498316465437924,1.0,1.0
565,39066,1130,0.06921390107657914,1.0,1.0
566,39132,1132,0.042686976322623596,1.0,1.0
567,39182,1134,0.06551214880782197,1.0,1.0
568,39248,1136,0.07082028132326776,1.0,1.0
569,39314,1138,0.07029909886875915,1.0,1.0
